Word,Probability
tài_trợ_vốn,0.00012671059300557527
kỹ_thuật_số,0.00025342118601115053
tổng_cộng,0.0006335529650278763
dẫn_dắt,0.00025342118601115053
hạn_mức,0.0003801317790167258
trị_giá,0.0005068423720223011
một_vài,0.00025342118601115053
sắp,0.0005068423720223011
sáng_lập,0.0006335529650278763
kiêm,0.0005068423720223011
củng_cố,0.0003801317790167258
tư_cách,0.00012671059300557527
siêu,0.00025342118601115053
khắp,0.00012671059300557527
phân_bổ,0.0011403953370501775
cựu,0.00025342118601115053
chọn,0.0003801317790167258
trọng_yếu,0.0003801317790167258
đầy,0.00025342118601115053
hoá,0.00025342118601115053
ngày_một,0.00012671059300557527
lớn_mạnh,0.00012671059300557527
mong_muốn,0.0003801317790167258
bản_địa_hóa,0.00012671059300557527
giờ,0.0005068423720223011
kịp_thời,0.0007602635580334517
khác_biệt,0.0007602635580334517
cửa_hàng,0.00025342118601115053
one,0.00012671059300557527
stop,0.00012671059300557527
shop,0.00012671059300557527
trí_tuệ,0.00025342118601115053
nhân_tạo,0.00025342118601115053
tài_trợ,0.0007602635580334517
nhắn_tin,0.00025342118601115053
ví,0.00025342118601115053
vô_vàn,0.00012671059300557527
trụ_sở_tại,0.0008869741510390269
dự_định,0.00012671059300557527
hiện_diện,0.00012671059300557527
nơi,0.0007602635580334517
sinh_viên,0.00012671059300557527
giải_quyết,0.0006335529650278763
điển_hình,0.00012671059300557527
thiếu_hụt,0.0005068423720223011
nhãn_hiệu,0.00012671059300557527
nhãn,0.00012671059300557527
bán_buôn,0.00025342118601115053
rót,0.00025342118601115053
đánh_dấu,0.00025342118601115053
mối,0.0003801317790167258
quan_hệ,0.0003801317790167258
hợp_tác_chiến_lược,0.00012671059300557527
đại_lý,0.00012671059300557527
toàn_quốc,0.00025342118601115053
thỏa_thuận,0.00025342118601115053
hỗ_trợ_giúp,0.00012671059300557527
phổ_biến,0.0006335529650278763
gian_hàng,0.00012671059300557527
dễ_dàng,0.00012671059300557527
hóa,0.0003801317790167258
theo_dõi,0.0007602635580334517
hộ,0.00025342118601115053
chứng_tỏ,0.00012671059300557527
ấn_tượng,0.00012671059300557527
tham_vọng,0.00012671059300557527
start,0.0003801317790167258
up,0.0003801317790167258
quà,0.00025342118601115053
tặng,0.0003801317790167258
hành_trình,0.00025342118601115053
trưởng_thành,0.00012671059300557527
công_cuộc,0.0003801317790167258
đấu_tranh,0.00025342118601115053
góp,0.0003801317790167258
sức,0.00012671059300557527
sự_nghiệp,0.0003801317790167258
hội_nhập,0.00012671059300557527
bản_lĩnh,0.00012671059300557527
ngừng,0.0007602635580334517
trui_rèn,0.00012671059300557527
ngày_càng_tỏa,0.00012671059300557527
vững_chắc,0.00012671059300557527
thành_tích,0.00012671059300557527
vinh_dự,0.00012671059300557527
tặng_thưởng,0.00025342118601115053
danh_hiệu,0.00012671059300557527
cao_quý,0.00012671059300557527
ghi,0.0003801317790167258
son,0.00012671059300557527
chủ_lực,0.00025342118601115053
chủ_đạo,0.00012671059300557527
vững_vàng,0.00012671059300557527
gương_mẫu,0.00012671059300557527
nghiêm_túc_chấp_hành,0.00025342118601115053
khắc_phục,0.0011403953370501775
bao_cấp,0.00012671059300557527
bứt_phá,0.00012671059300557527
thành_tựu,0.00025342118601115053
hết_sức,0.00012671059300557527
trực_thuộc,0.00025342118601115053
trao_tặng,0.00012671059300557527
phần_thưởng,0.00012671059300557527
trình,0.0005068423720223011
bền_bỉ,0.00012671059300557527
cống_hiến,0.00012671059300557527
suốt,0.0003801317790167258
to_lớn,0.00012671059300557527
kết_tinh,0.00012671059300557527
tinh_thần,0.00025342118601115053
sáng_tạo,0.0005068423720223011
ý_chí,0.00012671059300557527
quyết_tâm,0.0003801317790167258
lớp,0.00012671059300557527
thấm_đẫm,0.00012671059300557527
tư_duy,0.00012671059300557527
bản_sắc,0.00012671059300557527
vô_giá,0.00012671059300557527
vững,0.00012671059300557527
đón_nhận,0.00012671059300557527
thời_cơ,0.00012671059300557527
kỷ_nguyên,0.00012671059300557527
cách_mạng,0.00025342118601115053
tươi_sáng,0.00012671059300557527
quý_báu,0.00012671059300557527
hôm_nay,0.00025342118601115053
thi_đua,0.00012671059300557527
phấn_đấu,0.00025342118601115053
tâm_huyết,0.00012671059300557527
dấu,0.00012671059300557527
khắc_ghi,0.00012671059300557527
rực_rỡ,0.00012671059300557527
thăng_hoa,0.00025342118601115053
ấy,0.00025342118601115053
thế_kỷ,0.00012671059300557527
dựng,0.00012671059300557527
xây,0.0006335529650278763
công_sức,0.00012671059300557527
bao,0.00012671059300557527
chứa,0.0006335529650278763
tình_yêu,0.00012671059300557527
vạn,0.00012671059300557527
con_người,0.00025342118601115053
chinh_phục,0.00012671059300557527
đỉnh_cao,0.00012671059300557527
tư_tưởng,0.0003801317790167258
tình_cảm,0.00012671059300557527
đạo_đức,0.00025342118601115053
phẩm_chất,0.00012671059300557527
tài_năng,0.00012671059300557527
tiến_trình,0.00012671059300557527
tạo_dựng,0.00012671059300557527
chữ,0.00025342118601115053
tin_cậy,0.00012671059300557527
sử,0.00012671059300557527
hào_hùng,0.00012671059300557527
dân_tộc,0.00012671059300557527
sứ_mệnh,0.00012671059300557527
chi_viện,0.00012671059300557527
chủ_nghĩa,0.00012671059300557527
cổ_phần_hóa,0.00012671059300557527
tiền_lệ,0.00012671059300557527
nhà_nước_lớn,0.00012671059300557527
ra_công_chúng,0.00012671059300557527
chuyên_doanh,0.00012671059300557527
đối_ngoại,0.00012671059300557527
